Listing No,Last Update Date,Listing status,Residence Type,Property Structure,Number Of Room + Hall,Gross/Net m²,Floor,Property Age,Heating Type,Number of Floors,Loan Availability,Furnishing Status,Number of Bathrooms,Structure Type,State of the Building,Usage Status,Title Deed Status,Dues,Swap,Facade,Rental Income,Fuel Type,Authorized Office,City,District,Town,Price
123456-330,30-07-2023,For Sale,Apartment,,3 + 1,175 m2,2. Floor,New Property,Central Heating (Share Meter),9 Storey,Available,Not Furnished,2,,,Empty,Condominium,,No,,,,,Kayseri,Melikgazi,Altınoluk,"
                    2.550.000 TRY
                  "
138835-1,25-07-2023,For Sale,Apartment,,3 + 1,115 m2,7. Floor,11 at Age,Central,14 Storey,Available,Not Furnished,1,,,Owner,Condominium,,No,,,,,Kayseri,Melikgazi,Şirintepe,"
                    890.000 TRY
                  "
96602-1116,29-07-2023,For Sale,Apartment,Daire,4 + 1,190 m2,Middle Floor,New Property,Central Heating (Share Meter),13 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Condominium,500 TRY,No,"North, South, East, West",10.000 TRY,Gas,Yes,Kayseri,Kocasinan,Ertuğrul Gazi,"
                    2.250.000 TRY
                  "
124543-268,30-07-2023,For Sale,Apartment,,3 + 1,165 m2,6. Floor,New Property,Central Heating (Share Meter),9 Storey,Available,Not Furnished,2,,,Empty,Condominium,,No,South,,,,Kayseri,Melikgazi,Şirintepe,"
                    1.550.000 TRY
                  "
134309-185,02-07-2023,For Sale,Apartment,Daire,3 + 1,175 m2,10. Floor,4 at Age,Central,14 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Owner,Condominium,,No,"South, West",8.000 TRY,Gas,,Kayseri,Talas,Mevlana,"
                    2.299.000 TRY
                  "
94040-398,23-07-2023,For Sale,Detached House,Müstakil Ev,2 + 1,110 m2,,1 at Age,Heating Stove,1 Storey,Not Available,Not Furnished,1,Reinforced Concrete,Second Hand,Empty,Land,,No,"North, South, East, West",,Coal-Wood,Yes,Kayseri,İncesu,Karakoyunlu,"
                    2.000.000 TRY
                  "
138689-7,04-08-2023,For Sale,Apartment,Daire,2 + 1,125 m2,1. Floor,20 at Age,Combi Boiler,4 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Empty,Condominium,30 TRY,,,2.500 TRY,Gas,Yes,Kayseri,Melikgazi,Gesi Fatih,"
                    889.000 TRY
                  "
120649-425,05-08-2023,For Sale,Apartment,Daire,3 + 1,165 m2,Top Floor,New Property,Combi Boiler,4 Storey,Unknown,Not Furnished,2,,,,,,,,,,,Kayseri,Develi,Mustafa Asım Köksal,"
                    1.550.000 TRY
                  "
114614-1234,02-08-2023,For Sale,Apartment,Daire,3 + 1,140 m2,2. Floor,8 at Age,Combi Boiler,4 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Owner,Condominium,,No,"North, South, West",,Gas,Yes,Kayseri,Develi,Camiicedit,"
                    1.595.000 TRY
                  "
86284-138,18-07-2023,For Sale,Apartment,Daire,4 + 1,220 m2,3. Floor,1 at Age,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,,400 TRY,No,"North, West",10.000 TRY,Gas,Yes,Kayseri,Melikgazi,Gültepe,"
                    5.500.000 TRY
                  "
110035-194,16-07-2023,For Sale,Apartment,,3 + 1,220 m2,13. Floor,16 at Age,Central,13 Storey,Available,Not Furnished,2,,,Empty,Condominium,700 TRY,No,"North, South, West",,,,Kayseri,Melikgazi,Hürriyet,"
                    2.350.000 TRY
                  "
84031-291,27-07-2023,For Sale,Detached House,Müstakil Ev,3 + 1,262 m2,,15 at Age,Combi Boiler,2 Storey,Available,Not Furnished,1,,Second Hand,Empty,,,,"South, East, West",8.000 TRY,Gas,Yes,Kayseri,Melikgazi,Osmanlı,"
                    1.875.000 TRY
                  "
692459-343,28-07-2023,For Sale,Apartment,Daire,3 + 1,135 m2,2. Floor,6 at Age,Combi Boiler,4 Storey,Not Available,Not Furnished,2,Reinforced Concrete,,Unspecified,Condominium,,No,"North, South, West",,Gas,Yes,Kayseri,Develi,Yeni,"
                    1.750.000 TRY
                  "
113524-985,18-07-2023,For Sale,Apartment,,2 + 1,120 m2,6. Floor,New Property,Central,14 Storey,Available,Not Furnished,2,,,Empty,Condominium,400 TRY,No,East,,,,Kayseri,Talas,Mevlana,"
                    1.549.000 TRY
                  "
100242-443,28-07-2023,For Sale,Apartment,,2 + 1,120 m2,2. Floor,26 at Age,Combi Boiler,2 Storey,Available,Not Furnished,1,,,Tenanted,Floor Easement,,No,"North, South, East",,,,Kayseri,Talas,Bahçelievler,"
                    1.350.000 TRY
                  "
128795-459,04-08-2023,For Sale,Apartment,Daire,3 + 1,185 m2,3. Floor,New Property,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,,,No,"North, West",4.000 TRY,Gas,Yes,Kayseri,Melikgazi,Yeşilyurt,"
                    1.800.000 TRY
                  "
138969-95,03-08-2023,For Sale,Apartment,Daire,3 + 1,135 m2,Middle Floor,New Property,Combi Boiler,4 Storey,Available,Not Furnished,2,Reinforced Concrete,Under Construction,Empty,,,,,,Gas,,Kayseri,Develi,Yeni,"
                    1.350.000 TRY
                  "
123778-564,03-08-2023,For Sale,Detached House,Bahçe Katı,8 + 4,400 m2,,20 at Age,Combi Boiler,3 Storey,Available,Not Furnished,4,Reinforced Concrete,,Tenanted,Condominium,,No,"North, South, East, West",15.000.000 TRY,Gas,Yes,Kayseri,Melikgazi,Danişmend Gazi,"
                    2.680.000 TRY
                  "
128489-164,12-07-2023,For Sale,Apartment,Daire,2 + 1,115 m2,3. Floor,New Property,Central Heating (Share Meter),14 Storey,Available,Not Furnished,1,Reinforced Concrete,0,Empty,,,No,South,6.500 TRY,Gas,Yes,Kayseri,Talas,Mevlana,"
                    1.615.000 TRY
                  "
35150-1309,19-07-2023,For Sale,Apartment,,3 + 1,165 m2,2. Floor,New Property,Central Heating (Share Meter),13 Storey,Not Available,Not Furnished,2,,,Empty,Condominium,,No,"North, West",,,,Kayseri,Kocasinan,Hoca Ahmet Yesevi,"
                    1.975.000 TRY
                  "
0-41117418,17-07-2023,For Sale,Villa,Bahçe Dubleksi,4 + 1,176 m2,,New Property,Combi Boiler,2 Storey,Available,Not Furnished,3,Reinforced Concrete,0,Empty,Floor Easement,,No,"North, South, East, West",20.000 TRY,Gas,,Kayseri,Melikgazi,Eğribucak,"
                    7.950.000 TRY
                  "
0-41144751,21-07-2023,For Sale,Villa,Bahçe Dubleksi,5 + 1,245 m2,,New Property,Floor Heater,2 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Floor Easement,,No,"South, East",,Gas,,Kayseri,Melikgazi,Erenköy,"
                    11.500.000 TRY
                  "
125232-92,03-08-2023,For Sale,Apartment,,3 + 1,180 m2,4. Floor,5 at Age,Central Heating (Share Meter),15 Storey,Available,,2,,,,,,,,,,,Kayseri,Melikgazi,İldem Cumhuriyet,"
                    1.900.000 TRY
                  "
137856-7,04-07-2023,For Sale,Villa,Dubleks,4 + 1,180 m2,,New Property,Combi Boiler,2 Storey,Available,Not Furnished,4,Reinforced Concrete,0,Empty,Floor Easement,,No,,20.000 TRY,Gas,Yes,Kayseri,Melikgazi,Gesi,"
                    5.750.000 TRY
                  "
91207-2563,09-06-2023,For Sale,Apartment,,3 + 1,190 m2,13. Floor,5 at Age,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,,,Owner,Condominium,275 TRY,No,"South, West",,,,Kayseri,Talas,Mevlana,"
                    3.300.000 TRY
                  "
4453-7902,02-08-2023,For Sale,Apartment,Daire,3 + 1,170 m2,8. Floor,5 at Age,Central Heating (Share Meter),11 Storey,Available,Not Furnished,2,,Second Hand,Tenanted,Condominium,,No,,,Gas,Yes,Kayseri,Talas,Mevlana,"
                    1.950.000 TRY
                  "
125331-478,28-07-2023,For Sale,Apartment,,3 + 1,175 m2,3. Floor,4 at Age,Central Heating (Share Meter),9 Storey,Available,Not Furnished,2,,,Empty,Condominium,,No,"North, South, East",,,,Kayseri,Melikgazi,Demokrasi,"
                    1.590.000 TRY
                  "
73912-2162,05-08-2023,For Sale,Villa,,3 + 1,650 m2,Garden Floor,New Property,Combi Boiler,2 Storey,Not Available,Not Furnished,3,,,Empty,Condominium,,No,,,,,Kayseri,Kocasinan,Gömeç,"
                    4.250.000 TRY
                  "
116875-514,04-08-2023,For Sale,Apartment,Daire,3 + 1,140 m2,4. Floor,New Property,Combi Boiler,4 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Floor Easement,,No,"North, South, East",,Gas,Yes,Kayseri,Develi,Harman,"
                    1.350.000 TRY
                  "
134309-187,04-07-2023,For Sale,Apartment,Daire,3 + 1,175 m2,5. Floor,New Property,Central,12 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Condominium,,No,"North, South, East, West",,Gas,Yes,Kayseri,Melikgazi,Bahçelievler,"
                    2.400.000 TRY
                  "
74578-483,12-07-2023,For Sale,Apartment,Daire,3 + 1,165 m2,8. Floor,7 at Age,Central,9 Storey,Available,,1,,,,,,,,,,,Kayseri,Kocasinan,Argıncık,"
                    1.650.000 TRY
                  "
692460-1201,03-08-2023,For Sale,Apartment,Daire,3 + 1,140 m2,3. Floor,21 at Age,Heating Stove,3 Storey,Not Available,Not Furnished,1,,Second Hand,Empty,,,No,,,Coal-Wood,Yes,Kayseri,Develi,Feneseyukarı,"
                    1.000.000 TRY
                  "
64388-903,09-07-2023,For Sale,Apartment,Daire,3 + 1,165 m2,7. Floor,New Property,Combi Boiler,7 Storey,Available,Not Furnished,1,Reinforced Concrete,0,Empty,,,No,"South, East, West",,Gas,Yes,Kayseri,Kocasinan,Fevzi Çakmak,"
                    2.500.000 TRY
                  "
65534-436,15-07-2023,For Sale,Apartment,Daire,3 + 1,175 m2,12. Floor,14 at Age,Combi Boiler,12 Storey,Available,Furnished,2,Reinforced Concrete,,,,,,"South, West",10.000 TRY,Gas,,Kayseri,Melikgazi,Yıldırım Beyazıt,"
                    3.000.000 TRY
                  "
138536-28,22-07-2023,For Sale,Apartment,Daire,3 + 1,180 m2,1. Floor,10 at Age,Combi Boiler,4 Storey,Available,,2,,,,,,,"North, West",6.000 TRY,Gas,,Kayseri,Develi,Aşık Seyrani,"
                    1.680.000 TRY
                  "
138835-3,25-07-2023,For Sale,Apartment,,3 + 1,150 m2,1. Floor,21 at Age,Heating Stove,3 Storey,Available,Not Furnished,1,,,Empty,Condominium,,No,,,,,Kayseri,Kocasinan,Yeni,"
                    975.000 TRY
                  "
18531-4226,03-08-2023,For Sale,Apartment,Daire,3 + 1,175 m2,7. Floor,20 at Age,Central,14 Storey,Available,,1,,Second Hand,Tenanted,Condominium,,No,"North, West",,,Yes,Kayseri,Melikgazi,30 Ağustos,"
                    1.500.000 TRY
                  "
132235-146,24-05-2023,For Sale,Apartment,Daire,3 + 1,185 m2,7. Floor,12 at Age,Central,14 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Owner,Condominium,1 TRY,No,"North, South, West",10.000 TRY,Gas,Yes,Kayseri,Melikgazi,Köşk,"
                    2.780.000 TRY
                  "
124791-174,16-07-2023,For Sale,Detached House,,3 + 1,700 m2,Garden Floor,16 at Age,Heating Stove,1 Storey,Not Available,,1,,,Empty,,,No,,,,,Kayseri,Bünyan,Sümer,"
                    2.000.000 TRY
                  "
128795-503,04-08-2023,For Sale,Apartment,Daire,2 + 1,120 m2,13. Floor,New Property,Central Heating (Share Meter),13 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Condominium,300 TRY,No,South,3.500 TRY,Gas,Yes,Kayseri,Melikgazi,Gesi Fatih,"
                    1.250.000 TRY
                  "
124546-418,24-07-2023,For Sale,Apartment,,3 + 1,185 m2,3. Floor,5 at Age,Combi Boiler,8 Storey,Available,Not Furnished,2,,,Empty,Condominium,,No,"North, South, West",,,,Kayseri,Kocasinan,Sümer,"
                    2.350.000 TRY
                  "
128489-174,05-06-2023,For Sale,Apartment,Daire,4 + 1,210 m2,14. Floor,New Property,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Floor Easement,,No,"South, East",7.500 TRY,Gas,Yes,Kayseri,Kocasinan,Alsancak,"
                    3.200.000 TRY
                  "
116394-725,29-07-2023,For Sale,Apartment,Daire,3 + 1,170 m2,3. Floor,New Property,Combi Boiler,5 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Condominium,100 TRY,No,"South, East, West",12.000 TRY,Gas,Yes,Kayseri,Kocasinan,Erkilet,"
                    1.750.000 TRY
                  "
99212-1428,02-08-2023,For Sale,Apartment,Daire,3 + 1,115 m2,1. Floor,New Property,Combi Boiler,5 Storey,Available,Not Furnished,1,Reinforced Concrete,0,Empty,Floor Easement,,No,"North, South",,Gas,Yes,Kayseri,Develi,Feneseyukarı,"
                    1.399.000 TRY
                  "
137856-8,04-07-2023,For Sale,Apartment,Daire,4 + 1,260 m2,14. Floor,3 at Age,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Owner,Condominium,,No,,,Gas,Yes,Kayseri,Melikgazi,Yıldırım Beyazıt,"
                    3.950.000 TRY
                  "
125486-1534,05-08-2023,For Sale,Apartment,,4 + 1,200 m2,1. Floor,New Property,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,,,Empty,Condominium,,No,"South, East",,,,Kayseri,Kocasinan,Yakut,"
                    2.795.000 TRY
                  "
123456-298,30-07-2023,For Sale,Apartment,,3 + 1,185 m2,1. Floor,16 at Age,Central Heating (Share Meter),9 Storey,Available,Not Furnished,2,,,Owner,Condominium,,No,"South, East, West",,,,Kayseri,Melikgazi,Esenyurt,"
                    1.450.000 TRY
                  "
114614-1189,04-08-2023,For Sale,Apartment,Daire,3 + 1,160 m2,3. Floor,10 at Age,Combi Boiler,5 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Owner,Condominium,,No,South,,Gas,Yes,Kayseri,Develi,Reşadiye,"
                    1.780.000 TRY
                  "
124543-284,05-08-2023,For Sale,Apartment,,3 + 1,120 m2,Ground,16 at Age,Combi Boiler,5 Storey,Available,Not Furnished,1,,,Tenanted,Condominium,,No,"South, East",,,,Kayseri,Melikgazi,Selimiye,"
                    900.000 TRY
                  "
0-41068882,10-07-2023,For Sale,Apartment,Daire,2 + 1,72 m2,Middle Floor,10 at Age,Central,3 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Owner,Condominium,100 TRY,No,North,3.000 TRY,Gas,,Kayseri,Melikgazi,Demokrasi,"
                    980.000 TRY
                  "
0-41174857,26-07-2023,For Sale,Apartment,Daire,3 + 1,125 m2,4. Floor,2 at Age,Central,10 Storey,Available,Not Furnished,1,Reinforced Concrete,0,Empty,Condominium,200 TRY,No,South,3.000 TRY,,,Kayseri,Melikgazi,Battalgazi,"
                    1.345.000 TRY
                  "
114166-160,14-07-2023,For Sale,Apartment,,3 + 1,175 m2,8. Floor,New Property,Central Heating (Share Meter),13 Storey,Available,,2,,,,,,,,,,,Kayseri,Kocasinan,Mithatpaşa,"
                    2.300.000 TRY
                  "
138754-13,27-07-2023,For Sale,Apartment,Daire,3 + 1,130 m2,4. Floor,7 at Age,Combi Boiler,4 Storey,Available,Not Furnished,2,Reinforced Concrete,,Tenanted,Condominium,,,West,5.000 TRY,Gas,,Kayseri,Yahyalı,Seydili,"
                    1.800.000 TRY
                  "
120038-478,27-07-2023,For Sale,Villa,,5 + 2,680 m2,Garden Floor,11 at Age,Floor Heater,3 Storey,Available,Furnished,3,,,Empty,Condominium,,No,"North, South, East, West",,,,Kayseri,Melikgazi,Erenköy,"
                    9.000.000 TRY
                  "
135492-2,08-07-2023,For Sale,Apartment,Daire,3 + 1,180 m2,Middle Floor,New Property,Central,13 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Floor Easement,1 TRY,No,"South, West",4.000 TRY,Gas,Yes,Kayseri,Kocasinan,Sancaktepe,"
                    2.100.000 TRY
                  "
113524-997,19-07-2023,For Sale,Apartment,,2 + 1,120 m2,6. Floor,New Property,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,,,Empty,Condominium,200 TRY,No,East,,,,Kayseri,Talas,Mevlana,"
                    1.610.000 TRY
                  "
138411-2,03-08-2023,For Sale,Apartment,,4 + 1,225 m2,2. Floor,New Property,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,,,Empty,Floor Easement,11 TRY,No,"South, East, West",,,,Kayseri,Melikgazi,Tavlusun,"
                    2.850.000 TRY
                  "
75931-2400,27-07-2023,For Sale,Villa,Müstakil Ev,4 + 1,225 m2,,3 at Age,Floor Heater,2 Storey,Available,Not Furnished,2,,Second Hand,Owner,,,No,"North, South, East, West",,,Yes,Kayseri,Develi,Kılıçkaya,"
                    2.600.000 TRY
                  "
138689-6,04-08-2023,For Sale,Apartment,Daire,3 + 1,145 m2,2. Floor,20 at Age,Combi Boiler,3 Storey,Not Available,Not Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Floor Easement,20 TRY,No,,3.500 TRY,Gas,Yes,Kayseri,Kocasinan,Fevzi Çakmak,"
                    1.020.000 TRY
                  "
116105-212,17-07-2023,For Sale,Apartment,Daire,3 + 1,130 m2,Raised Ground Floor,17 at Age,Combi Boiler,5 Storey,Available,Not Furnished,1,Masonry,Second Hand,Tenanted,Condominium,50 TRY,No,"South, East, West",3.000 TRY,Gas,Yes,Kayseri,Melikgazi,Selçuklu,"
                    1.030.000 TRY
                  "
138860-6,29-07-2023,For Sale,Apartment,Daire,3 + 1,155 m2,12. Floor,15 at Age,Central,15 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Empty,Condominium,,No,"South, East",7.000 TRY,Gas,Yes,Kayseri,Talas,Mevlana,"
                    1.350.000 TRY
                  "
95003-333,24-07-2023,For Sale,Apartment,,3 + 1,190 m2,1. Floor,11 at Age,Central,9 Storey,Available,Not Furnished,1,,,Tenanted,Condominium,,No,"South, East",,,,Kayseri,Kocasinan,Erciyesevler,"
                    3.300.000 TRY
                  "
87047-1181,05-08-2023,For Sale,Apartment,,3 + 1,150 m2,Basement,30 at Age,Combi Boiler,3 Storey,Available,Not Furnished,1,,,,,,,,,,,Kayseri,Melikgazi,Keykubat,"
                    715.000 TRY
                  "
4453-7908,02-08-2023,For Sale,Apartment,Daire,2 + 1,120 m2,2. Floor,11 at Age,Central Heating (Share Meter),11 Storey,Available,Not Furnished,1,,Second Hand,Empty,Condominium,,No,,6.000 TRY,Gas,Yes,Kayseri,Talas,Mevlana,"
                    1.350.000 TRY
                  "
132235-149,31-05-2023,For Sale,Apartment,Daire,3 + 1,185 m2,12. Floor,New Property,Central,14 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Floor Easement,1 TRY,No,"South, East",6.000 TRY,Gas,Yes,Kayseri,Kocasinan,Sancaktepe,"
                    1.890.000 TRY
                  "
91207-2547,25-07-2023,For Sale,Apartment,,3 + 1,185 m2,4. Floor,New Property,Central Heating (Share Meter),13 Storey,Available,Not Furnished,2,,,Empty,Floor Easement,,No,"South, West",,,,Kayseri,Kocasinan,Ertuğrul Gazi,"
                    1.950.000 TRY
                  "
64388-911,26-07-2023,For Sale,Apartment,,3 + 1,165 m2,5. Floor,26 at Age,Combi Boiler,7 Storey,Available,Not Furnished,1,,,Empty,Condominium,150 TRY,No,"South, East",,,,Kayseri,Kocasinan,Gevhernesibe,"
                    1.250.000 TRY
                  "
129916-157,04-08-2023,For Sale,Apartment,,2 + 1,100 m2,6. Floor,New Property,Combi Boiler,7 Storey,Available,Not Furnished,1,,,Empty,Floor Easement,,No,South,,,,Kayseri,Melikgazi,Esenyurt,"
                    1.400.000 TRY
                  "
128489-178,22-06-2023,For Sale,Apartment,Daire,3 + 1,175 m2,14. Floor,4 at Age,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Owner,Condominium,200 TRY,No,"South, West",5.000 TRY,Gas,Yes,Kayseri,Talas,Mevlana,"
                    1.720.000 TRY
                  "
48181-627,13-07-2023,For Sale,Apartment,Daire,3 + 1,150 m2,7. Floor,4 at Age,Central Heating (Share Meter),13 Storey,Available,Not Furnished,2,Masonry,0,Empty,Floor Easement,,No,,,Gas,Yes,Kayseri,Kocasinan,Hoca Ahmet Yesevi,"
                    1.640.000 TRY
                  "
