,İlan Numarası,İlan Güncelleme Tarihi,Kategorisi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,İlan Oluşturma Tarihi,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,House Location,Krediye Uygunluk,Yatırıma Uygunluk,Yapı Durumu
828,13180992,06 Mayıs 2023,Satılık,170 M2,0 (Yeni),9,Boş,06 Mayıs 2023,Konut,140 M2,3+1,2.Kat,Merkezi (Pay Ölçer),1.420.000TL,Kayseri - Melikgazi - Bahçelievler Mahallesi,,,
829,13180989,20 Mayıs 2023,Satılık,170 M2,5-10,7,Kiracı Oturuyor,06 Mayıs 2023,Konut,155 M2,3+1,3.Kat,Merkezi Doğalgaz,1.200.000TL,Kayseri - Kocasinan - Sancaktepe Mahallesi,,,
830,13176427,20 Temmuz 2023,Satılık,110 M2,5-10,9,Boş,05 Mayıs 2023,Konut,90 M2,2+1,6.Kat,Kombi Doğalgaz,1.240.000TL,Kayseri - Melikgazi - 19 Mayıs Mahallesi,,,
831,13172102,14 Haziran 2023,Satılık,165 M2,11-15,10,Boş,05 Mayıs 2023,Konut,132 M2,3+1,4.Kat,Merkezi (Pay Ölçer),1.159.000TL,Kayseri - Melikgazi - Gesi Fatih Mahallesi,,,
832,13168585,16 Mayıs 2023,Satılık,100 M2,5-10,10,Mülk Sahibi Oturuyor,04 Mayıs 2023,Konut,85 M2,2+1,4.Kat,Merkezi Doğalgaz,1.050.000TLarrow_downward%5,Kayseri - Kocasinan - Şeker Mahallesi,,,
833,13168416,23 Temmuz 2023,Satılık,215 M2,11-15,13,Mülk Sahibi Oturuyor,04 Mayıs 2023,Konut,190 M2,4+1,9.Kat,Merkezi Doğalgaz,2.500.000TL,Kayseri - Kocasinan - Beyazşehir Mahallesi,,,
834,13168357,26 Temmuz 2023,Satılık,170 M2,11-15,7,Kiracı Oturuyor,04 Mayıs 2023,Konut,130 M2,3+1,6.Kat,Merkezi Doğalgaz,1.135.000TL,Kayseri - Melikgazi - Gülük Mahallesi,,,
835,13167398,04 Mayıs 2023,Satılık,240 M2,5-10,11,Mülk Sahibi Oturuyor,04 Mayıs 2023,Konut,180 M2,4+1,2.Kat,Merkezi (Pay Ölçer),4.000.000TL,Kayseri - Kocasinan - Hoca Ahmet Yesevi Mahallesi,,,
836,13163559,14 Haziran 2023,Satılık,155 M2,5-10,10,Kiracı Oturuyor,03 Mayıs 2023,Konut,135 M2,3+1,2.Kat,Merkezi Doğalgaz,1.450.000TL,Kayseri - Kocasinan - Turgut Reis Mahallesi,,,
837,13157288,27 Temmuz 2023,Satılık,175 M2,2,10,Boş,02 Mayıs 2023,Konut,135 M2,3+2,2.Kat,Merkezi (Pay Ölçer),2.075.000TL,Kayseri - Kocasinan - Beyazşehir Mahallesi,,,
838,13156320,06 Mayıs 2023,Satılık,175 M2,0 (Yeni),10,Boş,02 Mayıs 2023,Konut,145 M2,3+1,4.Kat,Merkezi (Pay Ölçer),1.849.000TL,Kayseri - Kocasinan - Mithatpaşa Mahallesi,,,
839,13155196,03 Temmuz 2023,Satılık,115 M2,5-10,1,Mülk Sahibi Oturuyor,01 Mayıs 2023,Konut,100 M2,2+1,Müstakil.Kat,Şömine,9.350.000TL,Kayseri - Melikgazi - Erenköy Mahallesi,,,
840,13148514,26 Temmuz 2023,Satılık,260 M2,0 (Yeni),3,Boş,30 Nisan 2023,Konut,250 M2,6+1,Düz Giriş,Kombi Doğalgaz,9.000.000TL,Kayseri - Melikgazi - Becen Mahallesi,,,
841,13148512,26 Temmuz 2023,Satılık,165 M2,4,13,Kiracı Oturuyor,30 Nisan 2023,Konut,135 M2,3+1,11.Kat,Merkezi (Pay Ölçer),1.300.000TL,Kayseri - Melikgazi - Demokrasi Mahallesi,,,
842,13145662,04 Mayıs 2023,Satılık,1.042 M2,0 (Yeni),2,Boş,29 Nisan 2023,Konut,340 M2,5+1,Müstakil.Kat,Kombi Doğalgaz,13.990.000TLarrow_downward%3,Kayseri - Melikgazi - Erenköy Mahallesi,,,
843,13145494,20 Temmuz 2023,Satılık,155 M2,0 (Yeni),12,Boş,29 Nisan 2023,Konut,130 M2,3+1,3.Kat,Merkezi Doğalgaz,275.000TL,Kayseri - Kocasinan - Ahi Evran Mahallesi,Krediye Uygun Değil,,
844,13138326,25 Temmuz 2023,Satılık,155 M2,3,13,Mülk Sahibi Oturuyor,28 Nisan 2023,Konut,130 M2,3+1,8.Kat,Merkezi (Pay Ölçer),1.470.000TL,Kayseri - Melikgazi - Demokrasi Mahallesi,,,
845,13138025,18 Mayıs 2023,Satılık,200 M2,2,2,Boş,28 Nisan 2023,Konut,195 M2,4+1,Düz Giriş,Kombi Doğalgaz,4.900.000TLarrow_downward%10,Kayseri - Melikgazi - Erenköy Mahallesi,,,
846,13135780,08 Haziran 2023,Satılık,85 M2,0 (Yeni),9,Boş,27 Nisan 2023,Konut,66 M2,2+1,9.Kat,Merkezi (Pay Ölçer),1.450.000TL,Kayseri - Kocasinan - Şeker Mahallesi,,,
847,13129736,28 Temmuz 2023,Satılık,155 M2,0 (Yeni),8,Boş,26 Nisan 2023,Konut,125 M2,3+1,8.Kat,Merkezi Doğalgaz,2.300.000TL,Kayseri - Kocasinan - Sahabiye Mahallesi,,,
848,13129246,04 Temmuz 2023,Satılık,135 M2,21 Ve Üzeri,6,Mülk Sahibi Oturuyor,26 Nisan 2023,Konut,100 M2,3+1,4.Kat,Kombi Doğalgaz,850.000TL,Kayseri - Kocasinan - Gevhernesibe Mahallesi,,,
849,13129245,04 Temmuz 2023,Satılık,165 M2,21 Ve Üzeri,4,Boş,26 Nisan 2023,Konut,125 M2,3+1,3.Kat,Kombi Doğalgaz,995.000TL,Kayseri - Melikgazi - Keykubat Mahallesi,,,
