Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,House Location,Şehir,İlçe,Mahalle
21 Ve Üzeri,2,0,Konut,250,3+1,Düz Giriş,Sobalı,2695000,Kayseri - Melikgazi - Kıranardı Mahallesi,Kayseri,4,Kıranardı Mahallesi
11-15,8,2,Konut,135,3+1,5.Kat,Kombi Doğalgaz,1575000,Kayseri - Melikgazi - Demokrasi Mahallesi,Kayseri,4,Demokrasi Mahallesi
5-10,7,0,Konut,130,3+1,6.Kat,Merkezi Doğalgaz,1550000,Kayseri - Melikgazi - Keykubat Mahallesi,Kayseri,4,Keykubat Mahallesi
0 (Yeni),11,0,Konut,130,3+1,2.Kat,Merkezi Doğalgaz,2250000,Kayseri - Kocasinan - Hoca Ahmet Yesevi Mahallesi,Kayseri,3,Hoca Ahmet Yesevi Mahallesi
5-10,13,0,Konut,160,4+1,13.Kat,Merkezi (Pay Ölçer),3440000,Kayseri - Kocasinan - Yakut Mahallesi,Kayseri,3,Yakut Mahallesi
0 (Yeni),10,0,Konut,132,3+1,5.Kat,Merkezi Doğalgaz,1799000,Kayseri - Melikgazi - Anbar Mahallesi,Kayseri,4,Anbar Mahallesi
5-10,14,0,Konut,165,4+1,5.Kat,Merkezi Doğalgaz,2990000,Kayseri - Kocasinan - Barbaros Mahallesi,Kayseri,3,Barbaros Mahallesi
3,17,1,Konut,70,2+1,4.Kat,Merkezi Doğalgaz,1790000,Kayseri - Kocasinan - Sahabiye Mahallesi,Kayseri,3,Sahabiye Mahallesi
5-10,9,1,Konut,130,3+1,1.Kat,Merkezi Doğalgaz,1460000,Kayseri - Melikgazi - Yıldırım Beyazıt Mahallesi,Kayseri,4,Yıldırım Beyazıt Mahallesi
2,17,1,Konut,130,3+1,5.Kat,Merkezi Doğalgaz,2095000,Kayseri - Kocasinan - Sahabiye Mahallesi,Kayseri,3,Sahabiye Mahallesi
4,2,0,Konut,190,4.5+1,Bahçe Dublex,Kombi Doğalgaz,5150000,Kayseri - Melikgazi - Altınoluk Mahallesi,Kayseri,4,Altınoluk Mahallesi
4,14,0,Konut,183,4+1,13.Kat,Merkezi (Pay Ölçer),5750000,Kayseri - Kocasinan - Uğurevler Mahallesi,Kayseri,3,Uğurevler Mahallesi
0 (Yeni),14,0,Konut,135,3+1,2.Kat,Merkezi (Pay Ölçer),1970000,Kayseri - Kocasinan - Zümrüt Mahallesi,Kayseri,3,Zümrüt Mahallesi
4,3,0,Konut,250,8+1,Villa Tipi,Kombi Doğalgaz,12500000,Kayseri - Melikgazi - Becen Mahallesi,Kayseri,4,Becen Mahallesi
5-10,6,2,Konut,135,3+1,5.Kat,Merkezi (Pay Ölçer),1975000,Kayseri - Melikgazi - Kazımkarabekir Mahallesi,Kayseri,4,Kazımkarabekir Mahallesi
21 Ve Üzeri,15,2,Konut,170,4+1,6.Kat,Merkezi (Pay Ölçer),2480000,Kayseri - Kocasinan - Yakut Mahallesi,Kayseri,3,Yakut Mahallesi
11-15,11,0,Konut,90,2.5+1,8.Kat,Merkezi Doğalgaz,1295000,Kayseri - Melikgazi - Kazımkarabekir Mahallesi,Kayseri,4,Kazımkarabekir Mahallesi
4,10,1,Konut,115,2+1,6.Kat,Merkezi (Pay Ölçer),1275000,Kayseri - Melikgazi - Battalgazi Mahallesi,Kayseri,4,Battalgazi Mahallesi
5-10,12,2,Konut,145,3+1,9.Kat,Merkezi (Pay Ölçer),1325000,Kayseri - Kocasinan - Beyazşehir Mahallesi,Kayseri,3,Beyazşehir Mahallesi
5-10,11,0,Konut,90,2.5+1,8.Kat,Merkezi Doğalgaz,1295000,Kayseri - Melikgazi - Kazımkarabekir Mahallesi,Kayseri,4,Kazımkarabekir Mahallesi
0 (Yeni),12,0,Konut,110,2+1,5.Kat,Merkezi (Pay Ölçer),300000,Kayseri - Kocasinan - Ahi Evran Mahallesi,Kayseri,3,Ahi Evran Mahallesi
11-15,10,0,Konut,125,3+1,9.Kat,Merkezi Doğalgaz,1190000,Kayseri - Melikgazi - Tınaztepe Mahallesi,Kayseri,4,Tınaztepe Mahallesi
4,11,0,Konut,130,3+1,10.Kat,Merkezi Doğalgaz,1650000,Kayseri - Melikgazi - Bahçelievler Mahallesi,Kayseri,4,Bahçelievler Mahallesi
21 Ve Üzeri,4,2,Konut,135,3+1,4.Kat,Merkezi Doğalgaz,1350000,Kayseri - Melikgazi - Osman Kavuncu Mahallesi,Kayseri,4,Osman Kavuncu Mahallesi
5-10,2,0,Konut,95,1 Oda,Düz Giriş,Isıtma Yok,1130000,Kayseri - Melikgazi - Esenyurt Mahallesi,Kayseri,4,Esenyurt Mahallesi
0 (Yeni),5,0,Konut,90,2+1,3.Kat,Merkezi (Pay Ölçer),1400000,Kayseri - Kocasinan - Oymaağaç Mahallesi,Kayseri,3,Oymaağaç Mahallesi
16-20,15,2,Konut,110,3+1,14.Kat,Merkezi Doğalgaz,965000,Kayseri - Melikgazi - Şirintepe Mahallesi,Kayseri,4,Şirintepe Mahallesi
5-10,8,1,Konut,150,3+1,1.Kat,Merkezi Doğalgaz,1550000,Kayseri - Kocasinan - Sancaktepe Mahallesi,Kayseri,3,Sancaktepe Mahallesi
11-15,3,0,Konut,500,7+1,Villa Tipi,Kombi Doğalgaz,22750000,Kayseri - Melikgazi - Erenköy Mahallesi,Kayseri,4,Erenköy Mahallesi
5-10,12,2,Konut,180,3+1,11.Kat,Merkezi (Pay Ölçer),1550000,Kayseri - Melikgazi - Bahçelievler Mahallesi,Kayseri,4,Bahçelievler Mahallesi
0 (Yeni),3,0,Konut,270,6+2,Bahçe Dublex,Yerden Isıtma,15500000,Kayseri - Melikgazi - Erenköy Mahallesi,Kayseri,4,Erenköy Mahallesi
0 (Yeni),12,0,Konut,135,3+1,5.Kat,Merkezi Doğalgaz,1850000,Kayseri - Melikgazi - Mimarsinan Mahallesi,Kayseri,4,Mimarsinan Mahallesi
21 Ve Üzeri,7,1,Konut,100,3+1,Yüksek Giriş,Kombi Doğalgaz,780000,Kayseri - Melikgazi - Tınaztepe Mahallesi,Kayseri,4,Tınaztepe Mahallesi
0 (Yeni),9,0,Konut,85,2+1,4.Kat,Merkezi Doğalgaz,295000,Kayseri - Kocasinan - Ahi Evran Mahallesi,Kayseri,3,Ahi Evran Mahallesi
0 (Yeni),14,0,Konut,165,3+1,11.Kat,Merkezi Doğalgaz,1850000,Kayseri - Melikgazi - Tınaztepe Mahallesi,Kayseri,4,Tınaztepe Mahallesi
0 (Yeni),9,0,Konut,80,2+1,4.Kat,Kombi Doğalgaz,1345000,Kayseri - Kocasinan - Şeker Mahallesi,Kayseri,3,Şeker Mahallesi
11-15,9,0,Konut,75,1+1,8.Kat,Kombi Doğalgaz,825000,Kayseri - Melikgazi - Selçuklu Mahallesi,Kayseri,4,Selçuklu Mahallesi
5-10,10,1,Konut,145,3+1,3.Kat,Merkezi Doğalgaz,1800000,Kayseri - Melikgazi - Anbar Mahallesi,Kayseri,4,Anbar Mahallesi
5-10,10,2,Konut,125,3+1,4.Kat,Merkezi Doğalgaz,1580000,Kayseri - Kocasinan - Ahi Evran Mahallesi,Kayseri,3,Ahi Evran Mahallesi
5-10,1,0,Konut,60,1.5+1,Villa Tipi,Güneş Enerjisi,2250000,Kayseri - Melikgazi - Becen Mahallesi,Kayseri,4,Becen Mahallesi
0 (Yeni),6,0,Konut,115,3+1,1.Kat,Kombi Doğalgaz,1700000,Kayseri - Melikgazi - Hürriyet Mahallesi,Kayseri,4,Hürriyet Mahallesi
3,2,2,Konut,320,6+1,Düz Giriş,Kombi Doğalgaz,13750000,Kayseri - Melikgazi - Becen Mahallesi,Kayseri,4,Becen Mahallesi
16-20,10,2,Konut,170,3+1,2.Kat,Merkezi (Pay Ölçer),3050000,Kayseri - Melikgazi - Alpaslan Mahallesi,Kayseri,4,Alpaslan Mahallesi
5-10,14,1,Konut,100,2+1,11.Kat,Merkezi Doğalgaz,1470000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,4,Yeşilyurt Mahallesi
5-10,11,2,Konut,150,3+1,6.Kat,Merkezi (Pay Ölçer),1530000,Kayseri - Melikgazi - Demokrasi Mahallesi,Kayseri,4,Demokrasi Mahallesi
5-10,12,2,Konut,150,3+1,9.Kat,Merkezi Doğalgaz,3500000,Kayseri - Melikgazi - Köşk Mahallesi,Kayseri,4,Köşk Mahallesi
16-20,8,1,Konut,80,3+1,2.Kat,Merkezi (Pay Ölçer),910000,Kayseri - Melikgazi - Anafartalar Mahallesi,Kayseri,4,Anafartalar Mahallesi
16-20,15,1,Konut,100,3+1,5.Kat,Merkezi (Pay Ölçer),920000,Kayseri - Melikgazi - Şirintepe Mahallesi,Kayseri,4,Şirintepe Mahallesi
21 Ve Üzeri,2,2,Konut,150,3+1,Bahçe Katı,Sobalı,1725000,Kayseri - Kocasinan - Saraycık Mahallesi,Kayseri,3,Saraycık Mahallesi
4,12,2,Konut,135,3+1,5.Kat,Merkezi Doğalgaz,1650000,Kayseri - Kocasinan - Erkilet Mahallesi,Kayseri,3,Erkilet Mahallesi
21 Ve Üzeri,1,0,Konut,640,1+1,Düz Giriş,Sobalı,945000,Kayseri - Kocasinan - Saraycık Mahallesi,Kayseri,3,Saraycık Mahallesi
2,6,2,Konut,135,3+1,6.Kat,Merkezi (Pay Ölçer),1600000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Kayseri,4,İldem Cumhuriyet Mahallesi
3,3,2,Konut,200,9+ Oda,3.Kat,Kombi Doğalgaz,15000000,Kayseri - Melikgazi - Erenköy Mahallesi,Kayseri,4,Erenköy Mahallesi
0 (Yeni),3,0,Konut,185,5+1,Müstakil.Kat,Kombi Doğalgaz,6500000,Kayseri - Melikgazi - Eğribucak Mahallesi,Kayseri,4,Eğribucak Mahallesi
0 (Yeni),9,0,Konut,145,3+1,2.Kat,Merkezi (Pay Ölçer),2550000,Kayseri - Melikgazi - Altınoluk Mahallesi,Kayseri,4,Altınoluk Mahallesi
5-10,9,1,Konut,130,3+1,8.Kat,Merkezi Doğalgaz,1350000,Kayseri - Kocasinan - Ahi Evran Mahallesi,Kayseri,3,Ahi Evran Mahallesi
3,4,0,Konut,200,4+1,4.Kat,Merkezi (Pay Ölçer),2350000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,4,Yeşilyurt Mahallesi
1,14,0,Konut,100,2.5+1,8.Kat,Merkezi (Pay Ölçer),1750000,Kayseri - Kocasinan - Ziyagökalp Mahallesi,Kayseri,3,Ziyagökalp Mahallesi
2,14,0,Konut,145,3.5+1,7.Kat,Merkezi (Pay Ölçer),2295000,Kayseri - Kocasinan - Beyazşehir Mahallesi,Kayseri,3,Beyazşehir Mahallesi
11-15,6,2,Konut,80,2+1,3.Kat,Kombi Doğalgaz,1065000,Kayseri - Melikgazi - Demokrasi Mahallesi,Kayseri,4,Demokrasi Mahallesi
5-10,8,1,Konut,135,3+1,7.Kat,Kombi Doğalgaz,1545000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Kayseri,4,İldem Cumhuriyet Mahallesi
1,12,2,Konut,130,3+1,8.Kat,Merkezi (Pay Ölçer),1440000,Kayseri - Kocasinan - Beyazşehir Mahallesi,Kayseri,3,Beyazşehir Mahallesi
1,10,0,Konut,138,3+1,2.Kat,Merkezi (Pay Ölçer),1755000,Kayseri - Kocasinan - Hoca Ahmet Yesevi Mahallesi,Kayseri,3,Hoca Ahmet Yesevi Mahallesi
0 (Yeni),14,0,Konut,260,4+1,2.Kat,Merkezi (Pay Ölçer),8500000,Kayseri - Melikgazi - Gültepe Mahallesi,Kayseri,4,Gültepe Mahallesi
0 (Yeni),2,0,Konut,160,3.5+1,Villa Tipi,Kombi Doğalgaz,6750000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
11-15,9,0,Konut,130,3+1,8.Kat,Merkezi (Pay Ölçer),1250000,Kayseri - Melikgazi - Tınaztepe Mahallesi,Kayseri,4,Tınaztepe Mahallesi
0 (Yeni),14,0,Konut,260,4+1,7.Kat,Merkezi (Pay Ölçer),9250000,Kayseri - Melikgazi - Gültepe Mahallesi,Kayseri,4,Gültepe Mahallesi
0 (Yeni),12,0,Konut,240,5+1,5.Kat,Merkezi (Pay Ölçer),7500000,Kayseri - Melikgazi - Yıldırım Beyazıt Mahallesi,Kayseri,4,Yıldırım Beyazıt Mahallesi
5-10,9,1,Konut,135,3+1,3.Kat,Kombi Doğalgaz,1495000,Kayseri - Melikgazi - Esenyurt Mahallesi,Kayseri,4,Esenyurt Mahallesi
0 (Yeni),12,0,Konut,130,3+1,10.Kat,Merkezi (Pay Ölçer),850000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,4,Yeşilyurt Mahallesi
21 Ve Üzeri,10,2,Konut,110,3+1,Düz Giriş,Kombi Doğalgaz,1175000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Kayseri,4,İldem Cumhuriyet Mahallesi
0 (Yeni),10,0,Konut,125,3+1,8.Kat,Merkezi (Pay Ölçer),2050000,Kayseri - Kocasinan - Mithatpaşa Mahallesi,Kayseri,3,Mithatpaşa Mahallesi
1,11,0,Konut,135,3+1,8.Kat,Merkezi Doğalgaz,1525000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,4,Yeşilyurt Mahallesi
5-10,8,2,Konut,140,3+1,8.Kat,Merkezi (Pay Ölçer),1675000,Kayseri - Kocasinan - Argıncık Mahallesi,Kayseri,3,Argıncık Mahallesi
16-20,9,1,Konut,125,3+1,1.Kat,Merkezi Doğalgaz,1265000,Kayseri - Kocasinan - Beyazşehir Mahallesi,Kayseri,3,Beyazşehir Mahallesi
0 (Yeni),14,0,Konut,155,3+1,4.Kat,Merkezi (Pay Ölçer),2000000,Kayseri - Kocasinan - Cırgalan Mahallesi,Kayseri,3,Cırgalan Mahallesi
4,4,1,Konut,95,2+1,4.Kat,Merkezi (Pay Ölçer),1199000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,4,Yeşilyurt Mahallesi
21 Ve Üzeri,14,1,Konut,240,4+1,5.Kat,Merkezi Doğalgaz,3550000,Kayseri - Melikgazi - Alpaslan Mahallesi,Kayseri,4,Alpaslan Mahallesi
3,11,1,Konut,135,3+1,2.Kat,Merkezi (Pay Ölçer),2090000,Kayseri - Melikgazi - 19 Mayıs Mahallesi,Kayseri,4,19 Mayıs Mahallesi
21 Ve Üzeri,2,2,Konut,140,4+1,Düz Giriş,Kombi Doğalgaz,2900000,Kayseri - Melikgazi - Hisarcık Mahallesi,Kayseri,4,Hisarcık Mahallesi
21 Ve Üzeri,4,2,Konut,100,2+1,Düz Giriş,Kombi Doğalgaz,865000,Kayseri - Melikgazi - Aydınlıkevler Mahallesi,Kayseri,4,Aydınlıkevler Mahallesi
4,2,0,Konut,200,3.5+1,Düz Giriş,Kombi Doğalgaz,7250000,Kayseri - Melikgazi - Eğribucak Mahallesi,Kayseri,4,Eğribucak Mahallesi
16-20,12,1,Konut,130,3+1,1.Kat,Merkezi Doğalgaz,1349999,Kayseri - Melikgazi - Bahçelievler Mahallesi,Kayseri,4,Bahçelievler Mahallesi
5-10,11,0,Konut,120,3+1,10.Kat,Merkezi (Pay Ölçer),1700000,Kayseri - Melikgazi - Bahçelievler Mahallesi,Kayseri,4,Bahçelievler Mahallesi
4,13,2,Konut,130,3+1,5.Kat,Merkezi (Pay Ölçer),2305000,Kayseri - Melikgazi - Yeniköy Mahallesi,Kayseri,4,Yeniköy Mahallesi
0 (Yeni),7,0,Konut,90,2+1,7.Kat,Merkezi Doğalgaz,1325000,Kayseri - Melikgazi - Esenyurt Mahallesi,Kayseri,4,Esenyurt Mahallesi
3,12,0,Konut,110,3+1,10.Kat,Merkezi (Pay Ölçer),1850000,Kayseri - Melikgazi - Kazımkarabekir Mahallesi,Kayseri,4,Kazımkarabekir Mahallesi
5-10,3,0,Konut,250,6+1,Düz Giriş,Kombi Doğalgaz,7000000,Kayseri - Melikgazi - Becen Mahallesi,Kayseri,4,Becen Mahallesi
5-10,3,1,Konut,480,2+1,Düz Giriş,Sobalı,2200000,Kayseri - Melikgazi - Selçuklu Mahallesi,Kayseri,4,Selçuklu Mahallesi
16-20,3,2,Konut,125,3+1,3.Kat,Kombi Doğalgaz,1300000,Kayseri - Kocasinan - Fevzi Çakmak Mahallesi,Kayseri,3,Fevzi Çakmak Mahallesi
11-15,11,2,Konut,145,3+1,7.Kat,Merkezi Doğalgaz,2950000,Kayseri - Melikgazi - Köşk Mahallesi,Kayseri,4,Köşk Mahallesi
5-10,12,0,Konut,130,3+1,8.Kat,Merkezi Fueloil,2410000,Kayseri - Melikgazi - Köşk Mahallesi,Kayseri,4,Köşk Mahallesi
0 (Yeni),10,0,Konut,115,2+1,4.Kat,Merkezi (Pay Ölçer),1425000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,4,Yeşilyurt Mahallesi
0 (Yeni),10,0,Konut,75,2+1,1.Kat,Merkezi (Pay Ölçer),1300000,Kayseri - Kocasinan - Şeker Mahallesi,Kayseri,3,Şeker Mahallesi
5-10,7,0,Konut,130,3+1,7.Kat,Merkezi Doğalgaz,1290000,Kayseri - Melikgazi - Bahçelievler Mahallesi,Kayseri,4,Bahçelievler Mahallesi
21 Ve Üzeri,5,1,Konut,90,3+1,5.Kat,Kombi Doğalgaz,925000,Kayseri - Melikgazi - Yeniköy Mahallesi,Kayseri,4,Yeniköy Mahallesi
5-10,8,0,Konut,140,3+1,2.Kat,Merkezi (Pay Ölçer),2625000,Kayseri - Kocasinan - Erciyesevler Mahallesi,Kayseri,3,Erciyesevler Mahallesi
16-20,4,2,Konut,150,3+1,3.Kat,Kombi Doğalgaz,1275000,Kayseri - Kocasinan - Mithatpaşa Mahallesi,Kayseri,3,Mithatpaşa Mahallesi
4,14,2,Konut,200,4+1,14.Kat,Merkezi (Pay Ölçer),4350000,Kayseri - Melikgazi - Yıldırım Beyazıt Mahallesi,Kayseri,4,Yıldırım Beyazıt Mahallesi
21 Ve Üzeri,5,2,Konut,95,2+1,2.Kat,Kombi Doğalgaz,885000,Kayseri - Kocasinan - Yavuz Selim Mahallesi,Kayseri,3,Yavuz Selim Mahallesi
0 (Yeni),12,0,Konut,125,3+1,8.Kat,Merkezi (Pay Ölçer),311000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
11-15,14,2,Konut,135,3+1,Düz Giriş,Merkezi Doğalgaz,1330000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
16-20,9,2,Konut,125,3+1,Düz Giriş,Merkezi Doğalgaz,1330000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Kayseri,4,İldem Cumhuriyet Mahallesi
16-20,5,1,Konut,100,3+1,Düz Giriş,Merkezi Doğalgaz,940000,Kayseri - Melikgazi - Selimiye Mahallesi,Kayseri,4,Selimiye Mahallesi
2,13,1,Konut,149,4+1,1.Kat,Merkezi (Pay Ölçer),2100000,Kayseri - Kocasinan - Ertuğrul Gazi Mahallesi,Kayseri,3,Ertuğrul Gazi Mahallesi
5-10,8,2,Konut,136,3+1,8.Kat,Kombi Doğalgaz,1450000,Kayseri - Melikgazi - Bahçelievler Mahallesi,Kayseri,4,Bahçelievler Mahallesi
3,9,1,Konut,70,2+1,2.Kat,Merkezi (Pay Ölçer),1315000,Kayseri - Kocasinan - Şeker Mahallesi,Kayseri,3,Şeker Mahallesi
21 Ve Üzeri,5,0,Konut,135,3+1,1.Kat,Kombi Doğalgaz,940000,Kayseri - Melikgazi - Tavlusun Mahallesi,Kayseri,4,Tavlusun Mahallesi
11-15,8,1,Konut,75,2+1,Düz Giriş,Merkezi Doğalgaz,925000,Kayseri - Melikgazi - Demokrasi Mahallesi,Kayseri,4,Demokrasi Mahallesi
5-10,14,1,Konut,164,3+1,11.Kat,Merkezi (Pay Ölçer),1550000,Kayseri - Kocasinan - Beyazşehir Mahallesi,Kayseri,3,Beyazşehir Mahallesi
4,10,1,Konut,125,3+1,2.Kat,Merkezi Doğalgaz,1450000,Kayseri - Melikgazi - Demokrasi Mahallesi,Kayseri,4,Demokrasi Mahallesi
0 (Yeni),7,0,Konut,140,3+1,4.Kat,Merkezi (Pay Ölçer),1580000,Kayseri - Kocasinan - Osmangazi Mahallesi,Kayseri,3,Osmangazi Mahallesi
5-10,10,0,Konut,133,3+1,3.Kat,Merkezi Doğalgaz,2040000,Kayseri - Melikgazi - Yıldırım Beyazıt Mahallesi,Kayseri,4,Yıldırım Beyazıt Mahallesi
21 Ve Üzeri,3,1,Konut,60,2+1,1.Kat,Sobalı,750000,Kayseri - Kocasinan - Hacı Saki Mahallesi,Kayseri,3,Hacı Saki Mahallesi
3,11,1,Konut,115,2+1,2.Kat,Merkezi Doğalgaz,1520000,Kayseri - Melikgazi - Battalgazi Mahallesi,Kayseri,4,Battalgazi Mahallesi
21 Ve Üzeri,3,1,Konut,100,3+1,1.Kat,Sobalı,850000,Kayseri - Kocasinan - Fevzi Çakmak Mahallesi,Kayseri,3,Fevzi Çakmak Mahallesi
21 Ve Üzeri,8,1,Konut,80,3+1,2.Kat,Kombi Doğalgaz,900000,Kayseri - Melikgazi - Anafartalar Mahallesi,Kayseri,4,Anafartalar Mahallesi
11-15,8,2,Konut,130,3+1,Yüksek Giriş,Kombi Doğalgaz,1145000,Kayseri - Melikgazi - Demokrasi Mahallesi,Kayseri,4,Demokrasi Mahallesi
0 (Yeni),12,0,Konut,125,3+1,10.Kat,Merkezi (Pay Ölçer),1400000,Kayseri - Melikgazi - Şirintepe Mahallesi,Kayseri,4,Şirintepe Mahallesi
5-10,14,0,Konut,240,4+1,12.Kat,Merkezi Doğalgaz,5250000,Kayseri - Kocasinan - Alsancak Mahallesi,Kayseri,3,Alsancak Mahallesi
5-10,14,0,Konut,175,4+1,4.Kat,Merkezi (Pay Ölçer),4150000,Kayseri - Kocasinan - Yakut Mahallesi,Kayseri,3,Yakut Mahallesi
5-10,14,0,Konut,140,3+1,9.Kat,Merkezi (Pay Ölçer),1800000,Kayseri - Kocasinan - Ziyagökalp Mahallesi,Kayseri,3,Ziyagökalp Mahallesi
5-10,3,2,Konut,130,3+1,2.Kat,Kombi Doğalgaz,1800000,Kayseri - Melikgazi - Gesi Mahallesi,Kayseri,4,Gesi Mahallesi
21 Ve Üzeri,9,2,Konut,105,3+1,Yüksek Giriş,Merkezi Doğalgaz,1200000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Kayseri,4,İldem Cumhuriyet Mahallesi
3,14,1,Konut,130,3+1,8.Kat,Merkezi (Pay Ölçer),1365000,Kayseri - Kocasinan - Beyazşehir Mahallesi,Kayseri,3,Beyazşehir Mahallesi
4,12,2,Konut,185,4+1,4.Kat,Merkezi (Pay Ölçer),3000000,Kayseri - Kocasinan - Yakut Mahallesi,Kayseri,3,Yakut Mahallesi
0 (Yeni),3,0,Konut,359,7+2,Düz Giriş,Kombi Doğalgaz,6500000,Kayseri - Melikgazi - Sarımsaklı Mahallesi,Kayseri,4,Sarımsaklı Mahallesi
5-10,2,0,Konut,140,1 Oda,Düz Giriş,Isıtma Yok,1950000,Kayseri - Melikgazi - Bahçelievler Mahallesi,Kayseri,4,Bahçelievler Mahallesi
5-10,2,0,Konut,140,1 Oda,Düz Giriş,Isıtma Yok,2150000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
0 (Yeni),10,0,Konut,85,2+1,3.Kat,Merkezi Doğalgaz,275000,Kayseri - Kocasinan - Ahi Evran Mahallesi,Kayseri,3,Ahi Evran Mahallesi
0 (Yeni),10,0,Konut,120,3+1,4.Kat,Merkezi Doğalgaz,400000,Kayseri - Kocasinan - Ahi Evran Mahallesi,Kayseri,3,Ahi Evran Mahallesi
5-10,12,0,Konut,175,4+1,1.Kat,Merkezi Doğalgaz,2590000,Kayseri - Melikgazi - Yıldırım Beyazıt Mahallesi,Kayseri,4,Yıldırım Beyazıt Mahallesi
2,14,1,Konut,145,3+1,3.Kat,Merkezi (Pay Ölçer),3400000,Kayseri - Melikgazi - Köşk Mahallesi,Kayseri,4,Köşk Mahallesi
0 (Yeni),14,0,Konut,125,3+1,3.Kat,Merkezi (Pay Ölçer),1650000,Kayseri - Kocasinan - Turgut Reis Mahallesi,Kayseri,3,Turgut Reis Mahallesi
4,12,0,Konut,135,3+1,5.Kat,Merkezi (Pay Ölçer),1475000,Kayseri - Kocasinan - Beyazşehir Mahallesi,Kayseri,3,Beyazşehir Mahallesi
11-15,13,2,Konut,200,4+1,1.Kat,Merkezi Doğalgaz,4250000,Kayseri - Melikgazi - Köşk Mahallesi,Kayseri,4,Köşk Mahallesi
0 (Yeni),13,0,Konut,97,3+1,8.Kat,Merkezi (Pay Ölçer),1459000,Kayseri - Melikgazi - Bahçelievler Mahallesi,Kayseri,4,Bahçelievler Mahallesi
16-20,8,2,Konut,155,3+1,3.Kat,Kombi Doğalgaz,1515000,Kayseri - Melikgazi - Esenyurt Mahallesi,Kayseri,4,Esenyurt Mahallesi
11-15,8,0,Konut,145,3+1,8.Kat,Merkezi Doğalgaz,1300000,Kayseri - Kocasinan - Ertuğrul Gazi Mahallesi,Kayseri,3,Ertuğrul Gazi Mahallesi
0 (Yeni),10,0,Konut,120,3+1,8.Kat,Merkezi (Pay Ölçer),1950000,Kayseri - Melikgazi - Kılıçaslan Mahallesi,Kayseri,4,Kılıçaslan Mahallesi
5-10,11,2,Konut,165,3+1,5.Kat,Merkezi Doğalgaz,1650000,Kayseri - Kocasinan - Beyazşehir Mahallesi,Kayseri,3,Beyazşehir Mahallesi
5-10,7,0,Konut,135,3+1,6.Kat,Kombi Doğalgaz,1440000,Kayseri - Melikgazi - Osmanlı Mahallesi,Kayseri,4,Osmanlı Mahallesi
11-15,12,0,Konut,135,3+1,5.Kat,Kombi Doğalgaz,1595000,Kayseri - Melikgazi - Esenyurt Mahallesi,Kayseri,4,Esenyurt Mahallesi
0 (Yeni),14,0,Konut,90,2.5+1,2.Kat,Merkezi (Pay Ölçer),1890000,Kayseri - Kocasinan - Beyazşehir Mahallesi,Kayseri,3,Beyazşehir Mahallesi
21 Ve Üzeri,11,2,Konut,170,4+1,6.Kat,Merkezi (Pay Ölçer),2350000,Kayseri - Kocasinan - Yakut Mahallesi,Kayseri,3,Yakut Mahallesi
5-10,13,2,Konut,130,3+1,1.Kat,Merkezi (Pay Ölçer),1750000,Kayseri - Kocasinan - Yavuzlar Mahallesi,Kayseri,3,Yavuzlar Mahallesi
4,6,1,Konut,135,3+1,6.Kat,Kombi Doğalgaz,1275000,Kayseri - Melikgazi - Bahçelievler Mahallesi,Kayseri,4,Bahçelievler Mahallesi
2,10,0,Konut,135,3+1,5.Kat,Merkezi (Pay Ölçer),1580000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Kayseri,4,İldem Cumhuriyet Mahallesi
0 (Yeni),3,0,Konut,100,2.5+1,1.Kat,Kombi Doğalgaz,1250000,Kayseri - Kocasinan - General Emir Mahallesi,Kayseri,3,General Emir Mahallesi
0 (Yeni),3,0,Konut,300,5+2,Bahçe Dublex,Kombi Doğalgaz,22000000,Kayseri - Melikgazi - Erenköy Mahallesi,Kayseri,4,Erenköy Mahallesi
0 (Yeni),2,0,Konut,165,5+1,Villa Tipi,Kombi Doğalgaz,9050000,Kayseri - Melikgazi - Becen Mahallesi,Kayseri,4,Becen Mahallesi
